cond1,cond2,leakiness,inference1,inference2,ManipCheck,stigma1,stigma2,stigma3,dis1,dis2,dis3,dis4,dis5,dis6,dis7,dis8,DisShape,DisWeight,cc1,cc2,gender,age,employment,HeightFeet,HeightInches,height,lbs,total_t,z_beg,z_end
2,4,-2,-1,0,-2,1,1,1,1,7,1,1,7,3,1,3,6,6,3,1,1,20,Yes: part-time,6,2,74,140,2.7333333,8/17/2012 at 2:36 PM,8/17/2012 at 2:38 PM
1,1,3,0,0,3,6,7,7,7,2,7,7,7,1,2,1,3,4,3,2,2,43,No,5,8,68,175,3.9,8/17/2012 at 2:35 PM,8/17/2012 at 2:39 PM
2,3,0,-2,2,,2,2,2,1,1,1,1,1,4,1,1,6,7,4,2,2,40,No,5,0,60,108,8.966666,8/17/2012 at 2:32 PM,8/17/2012 at 2:41 PM
2,2,-3,2,-2,-3,7,7,7,5,6,7,7,1,1,7,1,4,3,3,1,2,26,Yes: part-time,5,5,65,178,1.95,8/17/2012 at 2:40 PM,8/17/2012 at 2:42 PM
2,4,0,0,1,1,1,2,5,1,6,2,2,5,3,2,3,5,5,3,1,1,27,Yes: full-time,5,1,61,182,2.1333334,8/17/2012 at 2:42 PM,8/17/2012 at 2:44 PM
1,1,0,-1,1,,5,4,5,6,5,4,5,3,4,3,5,5,4,1,1,1,32,Yes: part-time,5,7,67,101,1.2166667,8/17/2012 at 2:46 PM,8/17/2012 at 2:47 PM
2,4,2,1,1,-2,5,5,6,5,3,6,5,2,5,6,2,2,2,3,1,1,22,No,5,11,71,222,3.5,8/17/2012 at 2:44 PM,8/17/2012 at 2:47 PM
1,1,-3,2,0,2,1,1,4,1,7,2,2,2,4,2,4,3,3,3,2,1,37,Yes: full-time,6,0,72,0,2.5,8/17/2012 at 2:45 PM,8/17/2012 at 2:48 PM
2,3,-2,0,0,-2,4,2,4,1,6,3,2,3,3,2,2,7,7,3,1,1,19,No,5,7,67,120,2.9333334,8/17/2012 at 2:46 PM,8/17/2012 at 2:49 PM
2,3,-2,-3,2,-2,1,1,1,1,7,1,2,7,4,1,2,4,7,3,1,1,38,Yes: full-time,6,4,76,185,3.4,8/17/2012 at 2:48 PM,8/17/2012 at 2:51 PM
2,4,-3,3,3,3,1,1,4,1,7,1,1,7,5,1,5,2,2,3,1,1,27,Yes: full-time,6,1,73,190,2.2,8/17/2012 at 2:49 PM,8/17/2012 at 2:51 PM
2,3,0,0,2,-2,5,2,4,3,4,2,5,4,4,2,3,4,3,3,1,1,20,Yes: part-time,5,11.5,71.5,175,2.4166667,8/17/2012 at 2:49 PM,8/17/2012 at 2:52 PM
2,4,0,1,3,-2,3,3,3,3,4,3,3,5,3,3,3,3,3,3,1,1,28,Yes: full-time,5,9,69,165,3.8666666,8/17/2012 at 2:48 PM,8/17/2012 at 2:52 PM
2,2,-1,1,0,-2,3,3,2,1,7,2,2,6,1,1,1,3,2,3,1,1,41,Yes: full-time,6,1,73,240,2.8666666,8/17/2012 at 2:50 PM,8/17/2012 at 2:53 PM
1,1,3,0,2,2,3,3,3,1,7,2,2,5,3,3,4,3,6,3,2,1,22,No,5,9,69,175,2.9833333,8/17/2012 at 2:50 PM,8/17/2012 at 2:53 PM
2,4,-2,1,2,0,1,1,1,3,6,2,2,7,2,4,1,5,5,4,2,1,20,Yes: part-time,5,1,61,150,2.85,8/17/2012 at 2:55 PM,8/17/2012 at 2:58 PM
2,4,-2,0,1,-1,5,7,6,5,3,5,6,3,4,6,4,3,3,3,1,2,21,No,5,1,61,125,2.9,8/17/2012 at 2:55 PM,8/17/2012 at 2:58 PM
2,3,0,3,3,0,1,1,1,4,4,3,3,5,2,4,2,3,3,3,1,2,25,No,5,6,66,112,2.05,8/17/2012 at 3:00 PM,8/17/2012 at 3:02 PM
2,2,0,1,0,-2,3,3,3,1,7,1,3,2,2,3,3,2,3,3,1,1,23,Yes: full-time,6,0,72,190,3.9333334,8/17/2012 at 2:59 PM,8/17/2012 at 3:03 PM
1,1,-3,2,3,3,4,2,2,3,6,1,2,6,6,4,5,6,6,3,2,1,21,No,5,0,60,7,4.5666666,8/17/2012 at 2:59 PM,8/17/2012 at 3:03 PM
2,2,-2,-1,2,-1,1,1,2,1,7,1,1,7,4,1,4,1,3,3,1,1,34,Yes: full-time,5,11,71,145,2.6166666,8/17/2012 at 3:03 PM,8/17/2012 at 3:05 PM
